pde,method,run_time,train_loss,mse,mxe,l2rel
GrayScottEquation,pinn,1368.741412,1.2542097920231754e-06,0.0244884602725505,0.9829522967338562,0.2231197357177734
GrayScottEquation,r3,1408.960707,1.3809822121402249e-06,0.0043496084399521,0.9834282994270324,0.0940334424376487
GrayScottEquation,rad,1364.386286,6.939034392416943e-06,0.0042601209133863,0.9829588532447816,0.0930611118674278
GrayScottEquation,randomr,1862.75213,4.330582612510625e-07,0.0043852040544152,0.98238867521286,0.0944174230098724
GrayScottEquation,rard,1369.688748,1.1117577969343985e-07,0.0043515413999557,0.9836312532424928,0.0940543264150619
GrayScottEquation,rarg,1378.145116,8.358069294445158e-07,0.0043197320774197,0.982388436794281,0.0937099382281303
KuramotoSivashinskyEquation,pinn,646.392361,0.0509930253028869,1.160519242286682,3.6840126514434814,1.009721040725708
KuramotoSivashinskyEquation,r3,668.901778,0.0092143444344401,1.1986936330795288,4.004360675811768,1.0261937379837036
KuramotoSivashinskyEquation,rad,624.863987,0.0761819407343864,1.175052046775818,3.7877702713012695,1.0160236358642578
KuramotoSivashinskyEquation,randomr,865.313329,0.0580773651599884,1.156180500984192,3.57009506225586,1.0078319311141968
KuramotoSivashinskyEquation,rard,624.486052,0.0450986921787261,1.166773557662964,3.745630025863648,1.012438178062439
KuramotoSivashinskyEquation,rarg,620.60041,0.0456189066171646,1.162510633468628,3.722091197967529,1.0105869770050049
